ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-03-28,150.1909300961155,155.18929421539295,169.70506117941252,150.1909300961155,150.1909300961155,12.221786118042596,12.221786118042596,12.221786118042596,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620483995246,0.6583620483995246,0.6583620483995246,1.6353377946388719,1.6353377946388719,1.6353377946388719,0.0,0.0,0.0,162.41271621415808
2022-03-29,149.85562629636416,154.6520325920366,169.04302399407803,149.85562629636416,149.85562629636416,12.550498021127655,12.550498021127655,12.550498021127655,9.9280862750042,9.9280862750042,9.9280862750042,0.578466513177844,0.578466513177844,0.578466513177844,2.043945232945612,2.043945232945612,2.043945232945612,0.0,0.0,0.0,162.40612431749182
2022-03-30,149.52032249661286,154.97514044501742,169.14673111154568,149.52032249661286,149.52032249661286,12.6599418387409,12.6599418387409,12.6599418387409,9.9280862750042,9.9280862750042,9.9280862750042,0.3425052923617349,0.3425052923617349,0.3425052923617349,2.3893502713749672,2.3893502713749672,2.3893502713749672,0.0,0.0,0.0,162.18026433535377
2022-03-31,149.18501869686153,154.51647658201472,169.0892871485079,149.18501869686153,149.18501869686153,12.895106380267702,12.895106380267702,12.895106380267702,9.9280862750042,9.9280862750042,9.9280862750042,0.2957446451937356,0.2957446451937356,0.2957446451937356,2.6712754600697672,2.6712754600697672,2.6712754600697672,0.0,0.0,0.0,162.08012507712922
2022-04-01,148.84971489711023,154.71959561462674,169.41770951914626,148.84971489711023,148.84971489711023,13.425739160136319,13.425739160136319,13.425739160136319,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579899831,0.6069431579899831,0.6069431579899831,2.890709727142137,2.890709727142137,2.890709727142137,0.0,0.0,0.0,162.27545405724655
2022-04-04,147.84380349785627,154.6208557266026,168.94522653652535,147.84380349785627,147.84380349785627,13.788059259499507,13.788059259499507,13.788059259499507,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620483993535,0.6583620483993535,0.6583620483993535,3.201610936095955,3.201610936095955,3.201610936095955,0.0,0.0,0.0,161.63186275735578
2022-04-05,147.508499698105,153.84740869083788,168.23410275549546,147.508499698105,147.508499698105,13.710378560565948,13.710378560565948,13.710378560565948,9.9280862750042,9.9280862750042,9.9280862750042,0.5784665131799951,0.5784665131799951,0.5784665131799951,3.203825772381755,3.203825772381755,3.203825772381755,0.0,0.0,0.0,161.21887825867094
2022-04-06,147.17319589835367,153.43982289519911,168.2635288568384,147.17319589835367,147.17319589835367,13.435268827715321,13.435268827715321,13.435268827715321,9.9280862750042,9.9280862750042,9.9280862750042,0.34250529236145566,0.34250529236145566,0.34250529236145566,3.164677260349667,3.164677260349667,3.164677260349667,0.0,0.0,0.0,160.608464726069
2022-04-07,146.83789209860237,153.16782659684768,167.33839227932185,146.83789209860237,146.83789209860237,13.314580763615231,13.314580763615231,13.314580763615231,9.9280862750042,9.9280862750042,9.9280862750042,0.295744645194389,0.295744645194389,0.295744645194389,3.0907498434166434,3.0907498434166434,3.0907498434166434,0.0,0.0,0.0,160.1524728622176
2022-04-08,146.50258829885104,152.82468086448154,167.34754621232472,146.50258829885104,146.50258829885104,13.524074001349115,13.524074001349115,13.524074001349115,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579888345,0.6069431579888345,0.6069431579888345,2.989044568356082,2.989044568356082,2.989044568356082,0.0,0.0,0.0,160.02666230020014
2022-04-11,145.4966768995971,151.39168375208703,166.26306230836852,145.4966768995971,145.4966768995971,13.176243042185172,13.176243042185172,13.176243042185172,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620483991826,0.6583620483991826,0.6583620483991826,2.5897947187817905,2.5897947187817905,2.5897947187817905,0.0,0.0,0.0,158.67291994178228
2022-04-12,145.16137309984578,150.28454190033472,165.08173484477535,145.16137309984578,145.16137309984578,12.95567265920291,12.95567265920291,12.95567265920291,9.9280862750042,9.9280862750042,9.9280862750042,0.57846651317925,0.57846651317925,0.57846651317925,2.449119871019462,2.449119871019462,2.449119871019462,0.0,0.0,0.0,158.1170457590487
2022-04-13,144.82606930009445,149.67859530537078,164.52996062082002,144.82606930009445,144.82606930009445,12.586353528207686,12.586353528207686,12.586353528207686,9.9280862750042,9.9280862750042,9.9280862750042,0.3425052923615194,0.3425052923615194,0.3425052923615194,2.315761960841969,2.315761960841969,2.315761960841969,0.0,0.0,0.0,157.41242282830214
2022-04-14,144.49076550034314,149.33275136404532,164.09741084380687,144.49076550034314,144.49076550034314,12.419433771057907,12.419433771057907,12.419433771057907,9.9280862750042,9.9280862750042,9.9280862750042,0.2957446451950424,0.2957446451950424,0.2957446451950424,2.195602850858664,2.195602850858664,2.195602850858664,0.0,0.0,0.0,156.91019927140104
2022-04-18,143.14955030133788,148.82748577791375,163.01588926203138,143.14955030133788,143.14955030133788,12.524420106898809,12.524420106898809,12.524420106898809,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620484005749,0.6583620484005749,0.6583620484005749,1.9379717834940342,1.9379717834940342,1.9379717834940342,0.0,0.0,0.0,155.6739704082367
2022-04-19,142.77416673939354,147.83681207626913,162.4050038449509,142.77416673939354,142.77416673939354,12.450885727255798,12.450885727255798,12.450885727255798,9.9280862750042,9.9280862750042,9.9280862750042,0.5784665131785051,0.5784665131785051,0.5784665131785051,1.9443329390730937,1.9443329390730937,1.9443329390730937,0.0,0.0,0.0,155.22505246664934
2022-04-20,142.3987831774492,147.38970379380032,162.04358994424462,142.3987831774492,142.3987831774492,12.252284596628671,12.252284596628671,12.252284596628671,9.9280862750042,9.9280862750042,9.9280862750042,0.34250529236124,0.34250529236124,0.34250529236124,1.981693029263231,1.981693029263231,1.981693029263231,0.0,0.0,0.0,154.65106777407786
2022-04-21,142.02339961550481,146.8873538714606,161.12609297120332,142.02339961550481,142.02339961550481,12.273569399075434,12.273569399075434,12.273569399075434,9.9280862750042,9.9280862750042,9.9280862750042,0.29574464519291715,0.29574464519291715,0.29574464519291715,2.0497384788783193,2.0497384788783193,2.0497384788783193,0.0,0.0,0.0,154.29696901458024
2022-04-22,141.64801605356047,146.7146355038301,161.5390895182753,141.64801605356047,141.64801605356047,12.682297033620644,12.682297033620644,12.682297033620644,9.9280862750042,9.9280862750042,9.9280862750042,0.6069431579911709,0.6069431579911709,0.6069431579911709,2.147267600625274,2.147267600625274,2.147267600625274,0.0,0.0,0.0,154.3303130871811
2022-04-25,140.52186536772743,146.0433282901782,161.23406402075437,140.52186536772743,140.52186536772743,13.179531266010303,13.179531266010303,13.179531266010303,9.9280862750042,9.9280862750042,9.9280862750042,0.6583620484019672,0.6583620484019672,0.6583620484019672,2.5930829426041377,2.5930829426041377,2.5930829426041377,0.0,0.0,0.0,153.70139663373774
